Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol"""
HEROMOTOCO,EQ,14-Aug-2025,"4,768.70","4,770.00","4,773.50","4,690.50","4,708.00","4,708.10","4,728.30",373862,1767730041.6,44143,184415,49.33,HEROMOTOCO
HINDUNILVR,EQ,08-Aug-2025,"2,517.50","2,516.00","2,529.90","2,486.60","2,500.00","2,498.60","2,501.61",839794,2100837838.9,58282,528288,62.91,HINDUNILVR
HINDUNILVR,EQ,11-Aug-2025,"2,498.60","2,490.10","2,524.50","2,478.50","2,509.00","2,518.40","2,504.14",992436,2485196993.7,68671,625030,62.98,HINDUNILVR
HINDUNILVR,EQ,12-Aug-2025,"2,518.40","2,518.00","2,536.60","2,480.10","2,484.00","2,483.80","2,498.11",1406211,3512876642.9,70674,901083,64.08,HINDUNILVR
HINDUNILVR,EQ,13-Aug-2025,"2,483.80","2,485.00","2,501.50","2,473.40","2,493.40","2,495.10","2,488.50",969803,2413358492.5,42554,647009,66.72,HINDUNILVR
HINDUNILVR,EQ,14-Aug-2025,"2,495.10","2,498.90","2,509.00","2,473.20","2,479.00","2,480.60","2,490.61",1104362,2750531986.6,53283,781708,70.78,HINDUNILVR
GRASIM,EQ,08-Aug-2025,"2,743.70","2,743.70","2,748.90","2,672.60","2,691.60","2,691.60","2,695.96",1162918,3135174870.1,75506,598683,51.48,GRASIM
GRASIM,EQ,11-Aug-2025,"2,691.60","2,726.00","2,795.00","2,720.00","2,763.00","2,758.90","2,751.65",1236332,3401957924.8,70346,442150,35.76,GRASIM
GRASIM,EQ,12-Aug-2025,"2,758.90","2,757.00","2,761.90","2,705.10","2,737.60","2,740.40","2,731.08",553341,1511220304.7,38454,294688,53.26,GRASIM
GRASIM,EQ,13-Aug-2025,"2,740.40","2,760.00","2,766.00","2,725.50","2,743.00","2,745.90","2,744.54",479944,1317227815.7,32089,267511,55.74,GRASIM
GRASIM,EQ,14-Aug-2025,"2,745.90","2,745.90","2,770.00","2,731.10","2,760.10","2,764.90","2,752.59",618912,1703612734.4,35216,408961,66.08,GRASIM
TATASTEEL,EQ,08-Aug-2025,159.67,159.5,159.95,157.01,158.25,157.95,158.22,11951173,1890859315.71,104268,4490526,37.57,TATASTEEL
TATASTEEL,EQ,11-Aug-2025,157.95,157.95,160.0,157.15,158.5,158.52,158.16,14325736,2265729580.4,116920,7001792,48.88,TATASTEEL
TATASTEEL,EQ,12-Aug-2025,158.52,158.52,161.65,158.5,160.13,160.16,160.62,20056598,3221539927.51,133490,7111731,35.46,TATASTEEL
TATASTEEL,EQ,13-Aug-2025,160.16,160.96,162.4,159.9,160.35,160.18,161.07,18079396,2911976062.73,117633,8115084,44.89,TATASTEEL
TATASTEEL,EQ,14-Aug-2025,160.18,160.02,160.6,154.83,155.68,155.3,156.57,47256126,7398980151.67,183512,29843274,63.15,TATASTEEL
UPL,EQ,08-Aug-2025,705.45,704.05,704.95,685.9,690.95,688.75,694.45,1164817,808905635.15,37246,615411,52.83,UPL
UPL,EQ,11-Aug-2025,688.75,688.95,696.6,678.15,693.1,693.7,689.7,1129449,778985874.8,41327,441922,39.13,UPL
UPL,EQ,12-Aug-2025,693.7,693.7,696.0,686.05,689.05,688.65,690.38,1449415,1000643715.8,39930,910450,62.81,UPL
UPL,EQ,13-Aug-2025,688.65,686.1,693.15,680.9,684.9,686.15,686.47,1062727,729528869.7,38148,610617,57.46,UPL
UPL,EQ,14-Aug-2025,686.15,684.2,693.9,681.0,682.85,683.75,686.3,1066750,732107810.65,34965,546211,51.2,UPL
AXISBANK,EQ,08-Aug-2025,"1,076.20","1,073.00","1,080.40","1,054.20","1,059.10","1,058.10","1,061.90",5084903,5399674776.7,94170,3531460,69.45,AXISBANK
AXISBANK,EQ,11-Aug-2025,"1,058.10","1,058.10","1,075.40","1,052.60","1,071.10","1,073.30","1,064.61",5452775,5805057926.7,138304,3200772,58.7,AXISBANK
AXISBANK,EQ,12-Aug-2025,"1,073.30","1,071.10","1,076.60","1,066.30","1,070.00","1,070.00","1,070.97",4573025,4897560427.0,153447,2884770,63.08,AXISBANK
AXISBANK,EQ,13-Aug-2025,"1,070.00","1,071.10","1,072.80","1,063.20","1,066.90","1,066.00","1,066.95",4966778,5299328097.3,146735,3339230,67.23,AXISBANK
AXISBANK,EQ,14-Aug-2025,"1,066.00","1,067.00","1,072.40","1,062.00","1,068.00","1,068.20","1,068.16",6761305,7222131947.8,167224,4828642,71.42,AXISBANK
LT,EQ,08-Aug-2025,"3,641.60","3,641.60","3,662.30","3,600.00","3,610.00","3,607.60","3,628.12",1337067,4851043230.0,59130,948514,70.94,LT
LT,EQ,11-Aug-2025,"3,607.60","3,610.00","3,676.90","3,600.00","3,672.00","3,668.40","3,651.77",1822410,6655022511.2,118763,1212722,66.54,LT
LT,EQ,12-Aug-2025,"3,668.40","3,680.00","3,727.90","3,673.10","3,679.80","3,686.10","3,699.97",2280103,8436303381.3,139129,1335582,58.58,LT
LT,EQ,13-Aug-2025,"3,686.10","3,696.00","3,716.00","3,681.30","3,692.00","3,693.70","3,702.13",1227196,4543245201.1,72453,780889,63.63,LT
LT,EQ,14-Aug-2025,"3,693.70","3,700.00","3,708.50","3,641.70","3,672.10","3,677.00","3,669.60",1769702,6494100710.3,84392,1169250,66.07,LT
POWERGRID,EQ,08-Aug-2025,285.55,284.8,286.25,283.6,284.8,284.85,284.88,6172968,1758570173.3,63202,4313475,69.88,POWERGRID
